"","X","Id","Label","timeset","modularity_class","labeldiff","kingdom","phylum","class","order","family","genus","species","name","abun","module2"
"92",92,"Zotu161","Zotu161",NA,22,"other","Bacteria","Proteobacteria","Alphaproteobacteria","uncultured","uncultured","uncultured",NA,"Zotu161",0.000112,"other"
"93",93,"Zotu16105","Zotu16105",NA,7,"diff","Bacteria","Nitrospirota","4-29-1","4-29-1","4-29-1","4-29-1","uncultured_Nitrospira","Zotu16105",0.000223,"7"
"94",94,"Zotu16155","Zotu16155",NA,7,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_soil","Zotu16155",0.00022,"7"
"95",95,"Zotu16172","Zotu16172",NA,21,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","uncultured","uncultured_bacterium","Zotu16172",0.002404,"21"
"96",96,"Zotu162","Zotu162",NA,8,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter",NA,"Zotu162",0.000255,"8"
"97",97,"Zotu16255","Zotu16255",NA,7,"other","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium",NA,"Zotu16255",0.000194,"7"
"98",98,"Zotu1642","Zotu1642",NA,22,"other","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41",NA,"Zotu1642",0.000116,"other"
"99",99,"Zotu16462","Zotu16462",NA,2,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu16462",0.000146,"2"
"100",100,"Zotu16601","Zotu16601",NA,7,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42",NA,"Zotu16601",0.001149,"7"
"101",101,"Zotu16602","Zotu16602",NA,7,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_soil","Zotu16602",0.000358,"7"
"102",102,"Zotu16621","Zotu16621",NA,7,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","uncultured","uncultured_bacterium","Zotu16621",0.001275,"7"
"103",103,"Zotu16859","Zotu16859",NA,2,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans",NA,"Zotu16859",0.000107,"2"
"104",104,"Zotu17","Zotu17",NA,21,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ideonella",NA,"Zotu17",0.013673,"21"
"105",105,"Zotu1227","Zotu1227",NA,21,"other","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae",NA,NA,"Zotu1227",0.00019,"21"
"106",106,"Zotu170","Zotu170",NA,18,"diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae",NA,NA,"Zotu170",0.001527,"other"
"107",107,"Zotu178","Zotu178",NA,8,"other","Bacteria","Nitrospirota","4-29-1","4-29-1","4-29-1","4-29-1","uncultured_proteobacterium","Zotu178",0.000144,"8"
"108",108,"Zotu1783","Zotu1783",NA,16,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Acidibacter",NA,"Zotu1783",0.000138,"other"
"109",109,"Zotu179","Zotu179",NA,7,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_soil","Zotu179",0.001812,"7"
"110",110,"Zotu1791","Zotu1791",NA,7,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae",NA,NA,"Zotu1791",0.000569,"7"
"111",111,"Zotu13664","Zotu13664",NA,7,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA,"Zotu13664",0.000131,"7"
"112",112,"Zotu19","Zotu19",NA,6,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu19",0.010745,"6"
"113",113,"Zotu127","Zotu127",NA,6,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu127",0.001942,"6"
"114",114,"Zotu191","Zotu191",NA,22,"diff","Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae",NA,NA,"Zotu191",0.000893,"other"
"115",115,"Zotu1929","Zotu1929",NA,16,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu1929",0.000176,"other"
"116",116,"Zotu193","Zotu193",NA,22,"other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Roseimarinus",NA,"Zotu193",0.000978,"other"
"117",117,"Zotu1147","Zotu1147",NA,22,"other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5","SB-5","uncultured_soil","Zotu1147",0.000176,"other"
"118",118,"Zotu195","Zotu195",NA,22,"other","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","uncultured","metagenome","Zotu195",0.001053,"other"
"119",119,"Zotu1276","Zotu1276",NA,22,"diff","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA,"Zotu1276",0.000127,"other"
"120",120,"Zotu2","Zotu2",NA,7,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_soil","Zotu2",0.091211,"7"
"121",121,"Zotu200","Zotu200",NA,16,"diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu200",0.001381,"other"
"122",122,"Zotu209","Zotu209",NA,18,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea","uncultured_bacterium","Zotu209",0.001333,"other"
"123",123,"Zotu103","Zotu103",NA,18,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea","uncultured_bacterium","Zotu103",0.005342,"other"
"124",124,"Zotu21","Zotu21",NA,9,"diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans",NA,"Zotu21",0.008163,"other"
"125",125,"Zotu181","Zotu181",NA,9,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42",NA,"Zotu181",0.001593,"other"
"126",126,"Zotu211","Zotu211",NA,8,"other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys",NA,"Zotu211",0.00037,"8"
"127",127,"Zotu215","Zotu215",NA,22,"other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5","SB-5",NA,"Zotu215",0.001027,"other"
"128",128,"Zotu2150","Zotu2150",NA,7,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae",NA,NA,"Zotu2150",0.000214,"7"
"129",129,"Zotu2162","Zotu2162",NA,16,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu2162",0.000112,"other"
"130",130,"Zotu17720","Zotu17720",NA,16,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Leeiaceae","Leeia",NA,"Zotu17720",0.001009,"other"
"131",131,"Zotu219","Zotu219",NA,8,"other","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Geotalea","uncultured_bacterium","Zotu219",0.000151,"8"
"132",132,"Zotu2191","Zotu2191",NA,21,"other","Bacteria",NA,NA,NA,NA,NA,NA,"Zotu2191",0.000161,"21"
