"","feature","method","group1","group2","p_values","adj_method","p_adjust","Compartment","Experiment","Variety","Timepoint","logFC","int_all","def_all"
"145","ko00480","LinDA","Defoliation","Intact","0.950698160192093","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0122088540399627,0.00835712828603707,0.00828670421744808
"146","ko00643","LinDA","Defoliation","Intact","0.857302845343665","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0133123027982738,0.00180904984729865,0.00179243382670734
"147","ko00642","LinDA","Defoliation","Intact","0.850207079643408","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0395101623768092,0.000911162421262031,0.000936460673557633
"148","ko00640","LinDA","Defoliation","Intact","0.974043223708311","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.00748427495783324,0.01269745478147,0.012631754707041
"149","ko00720","LinDA","Defoliation","Intact","0.999304678767883","BH",0.999966634692203,"Root","Exp1","NIP","day1",-0.00860875681738228,0.0185466758828859,0.0184363348917496
"150","ko00960","LinDA","Defoliation","Intact","0.857798820265685","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.00956532339049246,0.00208351616556312,0.00209737614267412
"151","ko02020","LinDA","Defoliation","Intact","0.896862457413851","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0200206312079619,0.0446766722162334,0.0440609651708439
"152","ko00120","LinDA","Defoliation","Intact","0.752812947280815","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.080893155495936,6.55097177973886e-05,6.19376127391462e-05
"153","ko00965","LinDA","Defoliation","Intact","0.763718992020452","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.2410494409163,1.13597292089037e-05,1.34255192315315e-05
"154","ko03008","LinDA","Defoliation","Intact","0.985103049615955","BH",0.999966634692203,"Root","Exp1","NIP","day1",-0.00165176287567535,0.00119927562105415,0.00119790333839329
"155","ko05414","LinDA","Defoliation","Intact","0.712586805932554","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.33756401351319,1.70297257683312e-06,2.15191220152252e-06
"156","ko00290","LinDA","Defoliation","Intact","0.638006965428775","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0517902697034102,0.0103437642215106,0.0107218329684702
